xw0,snr
-3.64032,2.71e-07
-2.74271,2.71111e-07
-2.2939,2.59021e-07
-1.8451,2.46855e-07
-1.48609,2.29524e-07
-1.12707,2.28342e-07
-0.947612,2.44966e-07
-0.768079,2.65782e-07
-0.588564,2.69839e-07
-0.409066,2.67507e-07
-0.229605,2.69189e-07
-0.121921,2.69189e-07
0,2.69674e-07
0.107684,2.68435e-07
0.215368,2.69459e-07
0.574345,2.71355e-07
0.933339,2.37834e-07
1.11285,2.21063e-07
1.29235,2.19294e-07
1.83083,2.42084e-07
2.27966,2.57719e-07
2.72847,2.67282e-07
3.62609,2.70377e-07
