xw0,snr
-3.64032,4.50562e-07
-2.7427,4.45626e-07
-2.2939,4.36566e-07
-1.84509,4.15245e-07
-1.48609,3.93355e-07
-1.12708,3.72194e-07
-0.947609,3.68964e-07
-0.768074,3.87011e-07
-0.588571,4.15659e-07
-0.409068,4.57006e-07
-0.229596,5.02009e-07
-0.121914,5.26823e-07
0,5.45879e-07
0.107682,5.33352e-07
0.215364,5.03872e-07
0.574339,4.08304e-07
0.933345,3.73392e-07
1.11285,3.69092e-07
1.29235,3.73639e-07
1.83083,4.18334e-07
2.27966,4.42061e-07
2.72847,4.55863e-07
3.62608,4.56913e-07
